date_id,full_date,year,quarter,month,month_name,day,weekday
20110101,2011-01-01,2011,1,1,January,1,Saturday
20110102,2011-01-02,2011,1,1,January,2,Sunday
20110103,2011-01-03,2011,1,1,January,3,Monday
20110104,2011-01-04,2011,1,1,January,4,Tuesday
20110105,2011-01-05,2011,1,1,January,5,Wednesday
20110106,2011-01-06,2011,1,1,January,6,Thursday
20110107,2011-01-07,2011,1,1,January,7,Friday
20110108,2011-01-08,2011,1,1,January,8,Saturday
20110109,2011-01-09,2011,1,1,January,9,Sunday
20110110,2011-01-10,2011,1,1,January,10,Monday
20110111,2011-01-11,2011,1,1,January,11,Tuesday
20110112,2011-01-12,2011,1,1,January,12,Wednesday
20110113,2011-01-13,2011,1,1,January,13,Thursday
20110114,2011-01-14,2011,1,1,January,14,Friday
20110115,2011-01-15,2011,1,1,January,15,Saturday
20110116,2011-01-16,2011,1,1,January,16,Sunday
20110117,2011-01-17,2011,1,1,January,17,Monday
20110118,2011-01-18,2011,1,1,January,18,Tuesday
20110119,2011-01-19,2011,1,1,January,19,Wednesday
20110120,2011-01-20,2011,1,1,January,20,Thursday
20110121,2011-01-21,2011,1,1,January,21,Friday
20110122,2011-01-22,2011,1,1,January,22,Saturday
20110123,2011-01-23,2011,1,1,January,23,Sunday
20110124,2011-01-24,2011,1,1,January,24,Monday
20110125,2011-01-25,2011,1,1,January,25,Tuesday
20110126,2011-01-26,2011,1,1,January,26,Wednesday
20110127,2011-01-27,2011,1,1,January,27,Thursday
20110128,2011-01-28,2011,1,1,January,28,Friday
20110129,2011-01-29,2011,1,1,January,29,Saturday
20110130,2011-01-30,2011,1,1,January,30,Sunday
20110131,2011-01-31,2011,1,1,January,31,Monday
20110201,2011-02-01,2011,1,2,February,1,Tuesday
20110202,2011-02-02,2011,1,2,February,2,Wednesday
20110203,2011-02-03,2011,1,2,February,3,Thursday
20110204,2011-02-04,2011,1,2,February,4,Friday
20110205,2011-02-05,2011,1,2,February,5,Saturday
20110206,2011-02-06,2011,1,2,February,6,Sunday
20110207,2011-02-07,2011,1,2,February,7,Monday
20110208,2011-02-08,2011,1,2,February,8,Tuesday
20110209,2011-02-09,2011,1,2,February,9,Wednesday
20110210,2011-02-10,2011,1,2,February,10,Thursday
20110211,2011-02-11,2011,1,2,February,11,Friday
20110212,2011-02-12,2011,1,2,February,12,Saturday
20110213,2011-02-13,2011,1,2,February,13,Sunday
20110214,2011-02-14,2011,1,2,February,14,Monday
20110215,2011-02-15,2011,1,2,February,15,Tuesday
20110216,2011-02-16,2011,1,2,February,16,Wednesday
20110217,2011-02-17,2011,1,2,February,17,Thursday
20110218,2011-02-18,2011,1,2,February,18,Friday
20110219,2011-02-19,2011,1,2,February,19,Saturday
20110221,2011-02-21,2011,1,2,February,21,Monday
20110222,2011-02-22,2011,1,2,February,22,Tuesday
20110223,2011-02-23,2011,1,2,February,23,Wednesday
20110224,2011-02-24,2011,1,2,February,24,Thursday
20110225,2011-02-25,2011,1,2,February,25,Friday
20110226,2011-02-26,2011,1,2,February,26,Saturday
20110227,2011-02-27,2011,1,2,February,27,Sunday
20110228,2011-02-28,2011,1,2,February,28,Monday
20110301,2011-03-01,2011,1,3,March,1,Tuesday
20110302,2011-03-02,2011,1,3,March,2,Wednesday
20110303,2011-03-03,2011,1,3,March,3,Thursday
20110304,2011-03-04,2011,1,3,March,4,Friday
20110305,2011-03-05,2011,1,3,March,5,Saturday
20110306,2011-03-06,2011,1,3,March,6,Sunday
20110307,2011-03-07,2011,1,3,March,7,Monday
20110308,2011-03-08,2011,1,3,March,8,Tuesday
20110309,2011-03-09,2011,1,3,March,9,Wednesday
20110310,2011-03-10,2011,1,3,March,10,Thursday
20110311,2011-03-11,2011,1,3,March,11,Friday
20110312,2011-03-12,2011,1,3,March,12,Saturday
20110314,2011-03-14,2011,1,3,March,14,Monday
20110315,2011-03-15,2011,1,3,March,15,Tuesday
20110316,2011-03-16,2011,1,3,March,16,Wednesday
20110317,2011-03-17,2011,1,3,March,17,Thursday
20110318,2011-03-18,2011,1,3,March,18,Friday
20110319,2011-03-19,2011,1,3,March,19,Saturday
20110321,2011-03-21,2011,1,3,March,21,Monday
20110322,2011-03-22,2011,1,3,March,22,Tuesday
20110323,2011-03-23,2011,1,3,March,23,Wednesday
20110324,2011-03-24,2011,1,3,March,24,Thursday
20110325,2011-03-25,2011,1,3,March,25,Friday
20110326,2011-03-26,2011,1,3,March,26,Saturday
20110327,2011-03-27,2011,1,3,March,27,Sunday
20110328,2011-03-28,2011,1,3,March,28,Monday
20110329,2011-03-29,2011,1,3,March,29,Tuesday
20110330,2011-03-30,2011,1,3,March,30,Wednesday
20110331,2011-03-31,2011,1,3,March,31,Thursday
20110401,2011-04-01,2011,2,4,April,1,Friday
20110402,2011-04-02,2011,2,4,April,2,Saturday
20110403,2011-04-03,2011,2,4,April,3,Sunday
20110404,2011-04-04,2011,2,4,April,4,Monday
20110405,2011-04-05,2011,2,4,April,5,Tuesday
20110406,2011-04-06,2011,2,4,April,6,Wednesday
20110407,2011-04-07,2011,2,4,April,7,Thursday
20110408,2011-04-08,2011,2,4,April,8,Friday
20110409,2011-04-09,2011,2,4,April,9,Saturday
20110411,2011-04-11,2011,2,4,April,11,Monday
20110412,2011-04-12,2011,2,4,April,12,Tuesday
20110413,2011-04-13,2011,2,4,April,13,Wednesday
20110414,2011-04-14,2011,2,4,April,14,Thursday
20110415,2011-04-15,2011,2,4,April,15,Friday
20110416,2011-04-16,2011,2,4,April,16,Saturday
20110418,2011-04-18,2011,2,4,April,18,Monday
20110419,2011-04-19,2011,2,4,April,19,Tuesday
20110420,2011-04-20,2011,2,4,April,20,Wednesday
20110421,2011-04-21,2011,2,4,April,21,Thursday
20110422,2011-04-22,2011,2,4,April,22,Friday
20110423,2011-04-23,2011,2,4,April,23,Saturday
20110424,2011-04-24,2011,2,4,April,24,Sunday
20110425,2011-04-25,2011,2,4,April,25,Monday
20110426,2011-04-26,2011,2,4,April,26,Tuesday
20110427,2011-04-27,2011,2,4,April,27,Wednesday
20110428,2011-04-28,2011,2,4,April,28,Thursday
20110429,2011-04-29,2011,2,4,April,29,Friday
20110430,2011-04-30,2011,2,4,April,30,Saturday
20110502,2011-05-02,2011,2,5,May,2,Monday
20110503,2011-05-03,2011,2,5,May,3,Tuesday
20110504,2011-05-04,2011,2,5,May,4,Wednesday
20110505,2011-05-05,2011,2,5,May,5,Thursday
20110506,2011-05-06,2011,2,5,May,6,Friday
20110507,2011-05-07,2011,2,5,May,7,Saturday
20110508,2011-05-08,2011,2,5,May,8,Sunday
20110509,2011-05-09,2011,2,5,May,9,Monday
20110510,2011-05-10,2011,2,5,May,10,Tuesday
20110511,2011-05-11,2011,2,5,May,11,Wednesday
20110512,2011-05-12,2011,2,5,May,12,Thursday
20110513,2011-05-13,2011,2,5,May,13,Friday
20110514,2011-05-14,2011,2,5,May,14,Saturday
20110515,2011-05-15,2011,2,5,May,15,Sunday
20110516,2011-05-16,2011,2,5,May,16,Monday
20110517,2011-05-17,2011,2,5,May,17,Tuesday
20110518,2011-05-18,2011,2,5,May,18,Wednesday
20110519,2011-05-19,2011,2,5,May,19,Thursday
20110520,2011-05-20,2011,2,5,May,20,Friday
20110521,2011-05-21,2011,2,5,May,21,Saturday
20110522,2011-05-22,2011,2,5,May,22,Sunday
20110523,2011-05-23,2011,2,5,May,23,Monday
20110524,2011-05-24,2011,2,5,May,24,Tuesday
20110525,2011-05-25,2011,2,5,May,25,Wednesday
20110526,2011-05-26,2011,2,5,May,26,Thursday
20110527,2011-05-27,2011,2,5,May,27,Friday
20110528,2011-05-28,2011,2,5,May,28,Saturday
20110530,2011-05-30,2011,2,5,May,30,Monday
20110531,2011-05-31,2011,2,5,May,31,Tuesday
20110601,2011-06-01,2011,2,6,June,1,Wednesday
20110602,2011-06-02,2011,2,6,June,2,Thursday
20110603,2011-06-03,2011,2,6,June,3,Friday
20110604,2011-06-04,2011,2,6,June,4,Saturday
20110605,2011-06-05,2011,2,6,June,5,Sunday
20110606,2011-06-06,2011,2,6,June,6,Monday
20110607,2011-06-07,2011,2,6,June,7,Tuesday
20110608,2011-06-08,2011,2,6,June,8,Wednesday
20110609,2011-06-09,2011,2,6,June,9,Thursday
20110610,2011-06-10,2011,2,6,June,10,Friday
20110611,2011-06-11,2011,2,6,June,11,Saturday
20110612,2011-06-12,2011,2,6,June,12,Sunday
20110613,2011-06-13,2011,2,6,June,13,Monday
20110614,2011-06-14,2011,2,6,June,14,Tuesday
20110615,2011-06-15,2011,2,6,June,15,Wednesday
20110616,2011-06-16,2011,2,6,June,16,Thursday
20110617,2011-06-17,2011,2,6,June,17,Friday
20110618,2011-06-18,2011,2,6,June,18,Saturday
20110619,2011-06-19,2011,2,6,June,19,Sunday
20110620,2011-06-20,2011,2,6,June,20,Monday
20110621,2011-06-21,2011,2,6,June,21,Tuesday
20110622,2011-06-22,2011,2,6,June,22,Wednesday
20110623,2011-06-23,2011,2,6,June,23,Thursday
20110624,2011-06-24,2011,2,6,June,24,Friday
20110625,2011-06-25,2011,2,6,June,25,Saturday
20110626,2011-06-26,2011,2,6,June,26,Sunday
20110627,2011-06-27,2011,2,6,June,27,Monday
20110628,2011-06-28,2011,2,6,June,28,Tuesday
20110629,2011-06-29,2011,2,6,June,29,Wednesday
20110630,2011-06-30,2011,2,6,June,30,Thursday
20110701,2011-07-01,2011,3,7,July,1,Friday
20110702,2011-07-02,2011,3,7,July,2,Saturday
20110704,2011-07-04,2011,3,7,July,4,Monday
20110705,2011-07-05,2011,3,7,July,5,Tuesday
20110706,2011-07-06,2011,3,7,July,6,Wednesday
20110707,2011-07-07,2011,3,7,July,7,Thursday
20110708,2011-07-08,2011,3,7,July,8,Friday
20110709,2011-07-09,2011,3,7,July,9,Saturday
20110711,2011-07-11,2011,3,7,July,11,Monday
20110712,2011-07-12,2011,3,7,July,12,Tuesday
20110713,2011-07-13,2011,3,7,July,13,Wednesday
20110714,2011-07-14,2011,3,7,July,14,Thursday
20110715,2011-07-15,2011,3,7,July,15,Friday
20110716,2011-07-16,2011,3,7,July,16,Saturday
20110717,2011-07-17,2011,3,7,July,17,Sunday
20110718,2011-07-18,2011,3,7,July,18,Monday
20110719,2011-07-19,2011,3,7,July,19,Tuesday
20110720,2011-07-20,2011,3,7,July,20,Wednesday
20110721,2011-07-21,2011,3,7,July,21,Thursday
20110722,2011-07-22,2011,3,7,July,22,Friday
20110723,2011-07-23,2011,3,7,July,23,Saturday
20110724,2011-07-24,2011,3,7,July,24,Sunday
20110725,2011-07-25,2011,3,7,July,25,Monday
20110726,2011-07-26,2011,3,7,July,26,Tuesday
20110727,2011-07-27,2011,3,7,July,27,Wednesday
20110728,2011-07-28,2011,3,7,July,28,Thursday
20110729,2011-07-29,2011,3,7,July,29,Friday
20110730,2011-07-30,2011,3,7,July,30,Saturday
20110731,2011-07-31,2011,3,7,July,31,Sunday
20110801,2011-08-01,2011,3,8,August,1,Monday
20110802,2011-08-02,2011,3,8,August,2,Tuesday
20110803,2011-08-03,2011,3,8,August,3,Wednesday
20110804,2011-08-04,2011,3,8,August,4,Thursday
20110805,2011-08-05,2011,3,8,August,5,Friday
